Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
3ebpayor,10517382,LR3_HH3.mp3,2,4,4,trial,24,7,trial,31
3ebpayor,10517382,LR3_LH3.mp3,2,2,7,trial,37,11,trial,16
3ebpayor,10517382,LR3_MH2.mp3,2,3,3,trial,32,13,trial,51
3ebpayor,10517382,LR3_Oct.mp3,2,1,1,trial,15,2,trial,31
3ebpayor,10517382,MR1_HH3.mp3,3,4,14,trial,76,15,trial,37
3ebpayor,10517382,MR1_LH3.mp3,3,2,15,trial,68,10,trial,20
3ebpayor,10517382,MR1_MH2.mp3,3,3,9,trial,41,4,trial,36
3ebpayor,10517382,MR1_Oct.mp3,3,1,16,trial,85,9,trial,22
3s1lhl39,10644302,HR1_HH3.mp3,4,4,3,trial,3,10,trial,0
3s1lhl39,10644302,HR1_LH3.mp3,4,2,15,trial,14,2,trial,16
3s1lhl39,10644302,HR1_MH2.mp3,4,3,9,trial,15,16,trial,7
3s1lhl39,10644302,HR1_Oct.mp3,4,1,5,trial,16,14,trial,19
3s1lhl39,10644302,Iso_HH3.mp3,1,4,13,trial,67,5,trial,23
3s1lhl39,10644302,Iso_LH3.mp3,1,2,7,trial,65,9,trial,43
3s1lhl39,10644302,Iso_MH2.mp3,1,3,2,trial,42,7,trial,32
3s1lhl39,10644302,Iso_Oct.mp3,1,1,14,trial,61,4,trial,58
3s1lhl39,10644302,LR3_HH3.mp3,2,4,8,trial,65,3,trial,57
3s1lhl39,10644302,LR3_LH3.mp3,2,2,4,trial,73,15,trial,66
3s1lhl39,10644302,LR3_MH2.mp3,2,3,6,trial,78,11,trial,62
3s1lhl39,10644302,LR3_Oct.mp3,2,1,16,trial,63,12,trial,58
3s1lhl39,10644302,MR1_HH3.mp3,3,4,1,trial,63,8,trial,68
3s1lhl39,10644302,MR1_LH3.mp3,3,2,11,trial,64,13,trial,65
3s1lhl39,10644302,MR1_MH2.mp3,3,3,12,trial,68,1,trial,39
3s1lhl39,10644302,MR1_Oct.mp3,3,1,10,trial,64,6,trial,40
48gjzt2y,10454594,HR1_HH3.mp3,4,4,2,trial,0,4,trial,0
48gjzt2y,10454594,HR1_LH3.mp3,4,2,10,trial,0,9,trial,0
48gjzt2y,10454594,HR1_MH2.mp3,4,3,3,trial,0,5,trial,0
48gjzt2y,10454594,HR1_Oct.mp3,4,1,7,trial,0,6,trial,13
48gjzt2y,10454594,Iso_HH3.mp3,1,4,14,trial,9,11,trial,0
48gjzt2y,10454594,Iso_LH3.mp3,1,2,12,trial,41,1,trial,33
48gjzt2y,10454594,Iso_MH2.mp3,1,3,15,trial,11,3,trial,0
48gjzt2y,10454594,Iso_Oct.mp3,1,1,5,trial,53,7,trial,36
48gjzt2y,10454594,LR3_HH3.mp3,2,4,11,trial,21,16,trial,0
48gjzt2y,10454594,LR3_LH3.mp3,2,2,4,trial,53,8,trial,58
48gjzt2y,10454594,LR3_MH2.mp3,2,3,8,trial,33,13,trial,37
48gjzt2y,10454594,LR3_Oct.mp3,2,1,16,trial,66,10,trial,68
