"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"k44mtv2k",10615345,"chinese",5,6,3,6,6,5,4,4,1,6,3,3,2,4,5,3,3,1,1,3,4,1,4,4,1,4,5,4,4,5,4,4,4,4,5,4,4,1,4,4
"kgfoxuva",10615333,"chinese",6,5,3,6,4,6,5,6,3,5,6,5,6,4,5,3,4,5,5,4,4,2,5,5,2,4,5,4,5,4,3,4,4,5,5,4,4,5,5,4
"ki5bwplr",10747761,"chinese",5,4,5,6,4,4,3,4,1,5,3,4,3,4,5,2,1,2,1,1,4,1,4,5,2,4,4,5,4,4,5,4,4,5,4,4,4,4,5,5
"kwizcctd",10747758,"chinese",7,5,2,7,5,6,3,6,2,6,5,5,5,5,6,2,2,3,4,2,5,1,4,5,1,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5
"kxnqr2ih",10745225,"chinese",7,4,4,6,5,5,2,6,3,5,2,6,4,2,5,4,5,4,4,3,5,2,4,5,1,5,5,5,5,5,4,5,4,5,5,4,4,5,4,4
"l1gkd6m1",10616142,"chinese",7,7,7,7,4,7,1,7,4,7,1,1,5,5,6,4,3,5,5,3,5,1,5,5,2,5,5,5,2,5,1,5,5,5,5,5,1,5,5,5
"l5wi19rp",10756658,"chinese",5,7,5,7,6,4,1,5,2,6,2,4,2,3,4,5,7,5,4,5,4,1,5,4,2,5,5,4,4,5,4,4,5,4,4,5,4,5,5,4
"l7hruau2",10745066,"chinese",7,5,5,7,5,6,3,6,6,5,4,7,5,4,4,3,5,4,4,3,5,2,5,4,4,5,5,5,5,4,5,4,5,5,5,4,3,5,5,5
"le3wbl22",10637087,"chinese",1,1,2,2,1,1,7,1,7,1,1,1,7,7,1,1,1,1,1,1,4,5,4,4,3,4,1,4,5,4,1,3,1,5,4,4,1,1,4,4
"mkf2au6n",10748410,"chinese",5,7,6,4,5,6,1,5,2,5,2,5,2,1,5,3,6,4,3,4,4,2,5,4,2,4,5,4,5,4,5,4,4,5,4,4,5,4,4,5
